"date","LineDescription","rate"
"12271",2018-08-21,"Unemployment rate",3.8
"12272",2018-08-21,"Federal funds rate",1.88
"12273",2018-08-21,"Personal consumption expenditures (PCE)",2.45
"12274",2018-08-21,"PCE excluding food and energy",2.13
"12275",2018-08-21,"Gross domestic product (GDP)",3.3
"12276",2018-08-22,"Unemployment rate",3.8
"12277",2018-08-22,"Federal funds rate",1.88
"12278",2018-08-22,"Personal consumption expenditures (PCE)",2.45
"12279",2018-08-22,"PCE excluding food and energy",2.13
"12280",2018-08-22,"Gross domestic product (GDP)",3.3
"12281",2018-08-23,"Unemployment rate",3.8
"12282",2018-08-23,"Federal funds rate",1.88
"12283",2018-08-23,"Personal consumption expenditures (PCE)",2.45
"12284",2018-08-23,"PCE excluding food and energy",2.13
"12285",2018-08-23,"Gross domestic product (GDP)",3.3
"12286",2018-08-24,"Unemployment rate",3.8
"12287",2018-08-24,"Federal funds rate",1.88
"12288",2018-08-24,"Personal consumption expenditures (PCE)",2.45
"12289",2018-08-24,"PCE excluding food and energy",2.13
"12290",2018-08-24,"Gross domestic product (GDP)",3.3
"12291",2018-08-25,"Unemployment rate",3.8
"12292",2018-08-25,"Federal funds rate",1.88
"12293",2018-08-25,"Personal consumption expenditures (PCE)",2.45
"12294",2018-08-25,"PCE excluding food and energy",2.13
"12295",2018-08-25,"Gross domestic product (GDP)",3.3
"12296",2018-08-26,"Unemployment rate",3.8
"12297",2018-08-26,"Federal funds rate",1.88
"12298",2018-08-26,"Personal consumption expenditures (PCE)",2.45
"12299",2018-08-26,"PCE excluding food and energy",2.13
"12300",2018-08-26,"Gross domestic product (GDP)",3.3
"12301",2018-08-27,"Unemployment rate",3.8
"12302",2018-08-27,"Federal funds rate",1.88
"12303",2018-08-27,"Personal consumption expenditures (PCE)",2.45
"12304",2018-08-27,"PCE excluding food and energy",2.13
"12305",2018-08-27,"Gross domestic product (GDP)",3.3
"12306",2018-08-28,"Unemployment rate",3.8
"12307",2018-08-28,"Federal funds rate",1.88
"12308",2018-08-28,"Personal consumption expenditures (PCE)",2.45
"12309",2018-08-28,"PCE excluding food and energy",2.13
"12310",2018-08-28,"Gross domestic product (GDP)",3.3
"12311",2018-08-29,"Unemployment rate",3.8
"12312",2018-08-29,"Federal funds rate",1.88
"12313",2018-08-29,"Personal consumption expenditures (PCE)",2.45
"12314",2018-08-29,"PCE excluding food and energy",2.13
"12315",2018-08-29,"Gross domestic product (GDP)",3.3
"12316",2018-08-30,"Unemployment rate",3.8
"12317",2018-08-30,"Federal funds rate",1.88
"12318",2018-08-30,"Personal consumption expenditures (PCE)",2.45
"12319",2018-08-30,"PCE excluding food and energy",2.13
"12320",2018-08-30,"Gross domestic product (GDP)",3.3
"12321",2018-08-31,"Unemployment rate",3.8
"12322",2018-08-31,"Federal funds rate",1.88
"12323",2018-08-31,"Personal consumption expenditures (PCE)",2.29
"12324",2018-08-31,"PCE excluding food and energy",2.03
"12325",2018-08-31,"Gross domestic product (GDP)",3.3
"12326",2018-09-01,"Unemployment rate",3.8
"12327",2018-09-01,"Federal funds rate",1.88
"12328",2018-09-01,"Personal consumption expenditures (PCE)",2.29
"12329",2018-09-01,"PCE excluding food and energy",2.03
"12330",2018-09-01,"Gross domestic product (GDP)",3.3
"12331",2018-09-02,"Unemployment rate",3.8
"12332",2018-09-02,"Federal funds rate",1.88
"12333",2018-09-02,"Personal consumption expenditures (PCE)",2.29
"12334",2018-09-02,"PCE excluding food and energy",2.03
"12335",2018-09-02,"Gross domestic product (GDP)",3.3
"12336",2018-09-03,"Unemployment rate",3.8
"12337",2018-09-03,"Federal funds rate",1.88
"12338",2018-09-03,"Personal consumption expenditures (PCE)",2.29
"12339",2018-09-03,"PCE excluding food and energy",2.03
"12340",2018-09-03,"Gross domestic product (GDP)",3.3
"12341",2018-09-04,"Unemployment rate",3.8
"12342",2018-09-04,"Federal funds rate",1.88
"12343",2018-09-04,"Personal consumption expenditures (PCE)",2.29
"12344",2018-09-04,"PCE excluding food and energy",2.03
"12345",2018-09-04,"Gross domestic product (GDP)",3.3
"12346",2018-09-05,"Unemployment rate",3.8
"12347",2018-09-05,"Federal funds rate",1.88
"12348",2018-09-05,"Personal consumption expenditures (PCE)",2.29
"12349",2018-09-05,"PCE excluding food and energy",2.03
"12350",2018-09-05,"Gross domestic product (GDP)",3.3
"12351",2018-09-06,"Unemployment rate",3.8
"12352",2018-09-06,"Federal funds rate",1.88
"12353",2018-09-06,"Personal consumption expenditures (PCE)",2.29
"12354",2018-09-06,"PCE excluding food and energy",2.03
"12355",2018-09-06,"Gross domestic product (GDP)",3.3
"12356",2018-09-07,"Unemployment rate",3.8
"12357",2018-09-07,"Federal funds rate",1.88
"12358",2018-09-07,"Personal consumption expenditures (PCE)",2.29
"12359",2018-09-07,"PCE excluding food and energy",2.03
"12360",2018-09-07,"Gross domestic product (GDP)",3.3
"12361",2018-09-08,"Unemployment rate",3.8
"12362",2018-09-08,"Federal funds rate",1.88
"12363",2018-09-08,"Personal consumption expenditures (PCE)",2.29
"12364",2018-09-08,"PCE excluding food and energy",2.03
"12365",2018-09-08,"Gross domestic product (GDP)",3.3
"12366",2018-09-09,"Unemployment rate",3.8
"12367",2018-09-09,"Federal funds rate",1.88
"12368",2018-09-09,"Personal consumption expenditures (PCE)",2.29
"12369",2018-09-09,"PCE excluding food and energy",2.03
"12370",2018-09-09,"Gross domestic product (GDP)",3.3
"12371",2018-09-10,"Unemployment rate",3.8
"12372",2018-09-10,"Federal funds rate",1.88
"12373",2018-09-10,"Personal consumption expenditures (PCE)",2.29
"12374",2018-09-10,"PCE excluding food and energy",2.03
"12375",2018-09-10,"Gross domestic product (GDP)",3.3
"12376",2018-09-11,"Unemployment rate",3.8
"12377",2018-09-11,"Federal funds rate",1.88
"12378",2018-09-11,"Personal consumption expenditures (PCE)",2.29
"12379",2018-09-11,"PCE excluding food and energy",2.03
"12380",2018-09-11,"Gross domestic product (GDP)",3.3
"12381",2018-09-12,"Unemployment rate",3.8
"12382",2018-09-12,"Federal funds rate",1.88
"12383",2018-09-12,"Personal consumption expenditures (PCE)",2.29
"12384",2018-09-12,"PCE excluding food and energy",2.03
"12385",2018-09-12,"Gross domestic product (GDP)",3.3
"12386",2018-09-13,"Unemployment rate",3.8
"12387",2018-09-13,"Federal funds rate",1.88
"12388",2018-09-13,"Personal consumption expenditures (PCE)",2.29
"12389",2018-09-13,"PCE excluding food and energy",2.03
"12390",2018-09-13,"Gross domestic product (GDP)",3.3
"12391",2018-09-14,"Unemployment rate",3.8
"12392",2018-09-14,"Federal funds rate",1.88
"12393",2018-09-14,"Personal consumption expenditures (PCE)",2.29
"12394",2018-09-14,"PCE excluding food and energy",2.03
"12395",2018-09-14,"Gross domestic product (GDP)",3.3
"12396",2018-09-15,"Unemployment rate",3.8
"12397",2018-09-15,"Federal funds rate",1.88
"12398",2018-09-15,"Personal consumption expenditures (PCE)",2.29
"12399",2018-09-15,"PCE excluding food and energy",2.03
"12400",2018-09-15,"Gross domestic product (GDP)",3.3
"12401",2018-09-16,"Unemployment rate",3.8
"12402",2018-09-16,"Federal funds rate",1.88
"12403",2018-09-16,"Personal consumption expenditures (PCE)",2.29
"12404",2018-09-16,"PCE excluding food and energy",2.03
"12405",2018-09-16,"Gross domestic product (GDP)",3.3
"12406",2018-09-17,"Unemployment rate",3.8
"12407",2018-09-17,"Federal funds rate",1.88
"12408",2018-09-17,"Personal consumption expenditures (PCE)",2.29
"12409",2018-09-17,"PCE excluding food and energy",2.03
"12410",2018-09-17,"Gross domestic product (GDP)",3.3
"12411",2018-09-18,"Unemployment rate",3.8
"12412",2018-09-18,"Federal funds rate",1.88
"12413",2018-09-18,"Personal consumption expenditures (PCE)",2.29
"12414",2018-09-18,"PCE excluding food and energy",2.03
"12415",2018-09-18,"Gross domestic product (GDP)",3.3
"12416",2018-09-19,"Unemployment rate",3.8
"12417",2018-09-19,"Federal funds rate",1.88
"12418",2018-09-19,"Personal consumption expenditures (PCE)",2.29
"12419",2018-09-19,"PCE excluding food and energy",2.03
"12420",2018-09-19,"Gross domestic product (GDP)",3.3
"12421",2018-09-20,"Unemployment rate",3.8
"12422",2018-09-20,"Federal funds rate",1.88
"12423",2018-09-20,"Personal consumption expenditures (PCE)",2.29
"12424",2018-09-20,"PCE excluding food and energy",2.03
"12425",2018-09-20,"Gross domestic product (GDP)",3.3
"12426",2018-09-21,"Unemployment rate",3.8
"12427",2018-09-21,"Federal funds rate",1.88
"12428",2018-09-21,"Personal consumption expenditures (PCE)",2.29
"12429",2018-09-21,"PCE excluding food and energy",2.03
"12430",2018-09-21,"Gross domestic product (GDP)",3.3
"12431",2018-09-22,"Unemployment rate",3.8
"12432",2018-09-22,"Federal funds rate",1.88
"12433",2018-09-22,"Personal consumption expenditures (PCE)",2.29
"12434",2018-09-22,"PCE excluding food and energy",2.03
"12435",2018-09-22,"Gross domestic product (GDP)",3.3
"12436",2018-09-23,"Unemployment rate",3.8
"12437",2018-09-23,"Federal funds rate",1.88
"12438",2018-09-23,"Personal consumption expenditures (PCE)",2.29
"12439",2018-09-23,"PCE excluding food and energy",2.03
"12440",2018-09-23,"Gross domestic product (GDP)",3.3
"12441",2018-09-24,"Unemployment rate",3.8
"12442",2018-09-24,"Federal funds rate",1.88
"12443",2018-09-24,"Personal consumption expenditures (PCE)",2.29
"12444",2018-09-24,"PCE excluding food and energy",2.03
"12445",2018-09-24,"Gross domestic product (GDP)",3.3
"12446",2018-09-25,"Unemployment rate",3.8
"12447",2018-09-25,"Federal funds rate",1.88
"12448",2018-09-25,"Personal consumption expenditures (PCE)",2.29
"12449",2018-09-25,"PCE excluding food and energy",2.03
"12450",2018-09-25,"Gross domestic product (GDP)",3.3
"12451",2018-09-26,"Unemployment rate",3.8
"12452",2018-09-26,"Federal funds rate",2.12
"12453",2018-09-26,"Personal consumption expenditures (PCE)",2.29
"12454",2018-09-26,"PCE excluding food and energy",2.03
"12455",2018-09-26,"Gross domestic product (GDP)",3.3
"12456",2018-09-27,"Unemployment rate",3.8
"12457",2018-09-27,"Federal funds rate",2.12
"12458",2018-09-27,"Personal consumption expenditures (PCE)",2.29
"12459",2018-09-27,"PCE excluding food and energy",2.03
"12460",2018-09-27,"Gross domestic product (GDP)",3.3
"12461",2018-09-28,"Unemployment rate",3.8
"12462",2018-09-28,"Federal funds rate",2.12
"12463",2018-09-28,"Personal consumption expenditures (PCE)",2.29
"12464",2018-09-28,"PCE excluding food and energy",2.03
"12465",2018-09-28,"Gross domestic product (GDP)",3.3
"12466",2018-09-29,"Unemployment rate",3.8
"12467",2018-09-29,"Federal funds rate",2.12
"12468",2018-09-29,"Personal consumption expenditures (PCE)",2.29
"12469",2018-09-29,"PCE excluding food and energy",2.03
"12470",2018-09-29,"Gross domestic product (GDP)",3.3
"12471",2018-09-30,"Unemployment rate",3.7
"12472",2018-09-30,"Federal funds rate",2.12
"12473",2018-09-30,"Personal consumption expenditures (PCE)",2.1
"12474",2018-09-30,"PCE excluding food and energy",2.07
"12475",2018-09-30,"Gross domestic product (GDP)",3.1
"12476",2018-10-01,"Unemployment rate",3.7
"12477",2018-10-01,"Federal funds rate",2.12
"12478",2018-10-01,"Personal consumption expenditures (PCE)",2.1
"12479",2018-10-01,"PCE excluding food and energy",2.07
"12480",2018-10-01,"Gross domestic product (GDP)",3.1
"12481",2018-10-02,"Unemployment rate",3.7
"12482",2018-10-02,"Federal funds rate",2.12
"12483",2018-10-02,"Personal consumption expenditures (PCE)",2.1
"12484",2018-10-02,"PCE excluding food and energy",2.07
"12485",2018-10-02,"Gross domestic product (GDP)",3.1
"12486",2018-10-03,"Unemployment rate",3.7
"12487",2018-10-03,"Federal funds rate",2.12
"12488",2018-10-03,"Personal consumption expenditures (PCE)",2.1
"12489",2018-10-03,"PCE excluding food and energy",2.07
"12490",2018-10-03,"Gross domestic product (GDP)",3.1
"12491",2018-10-04,"Unemployment rate",3.7
"12492",2018-10-04,"Federal funds rate",2.12
"12493",2018-10-04,"Personal consumption expenditures (PCE)",2.1
"12494",2018-10-04,"PCE excluding food and energy",2.07
"12495",2018-10-04,"Gross domestic product (GDP)",3.1
"12496",2018-10-05,"Unemployment rate",3.7
"12497",2018-10-05,"Federal funds rate",2.12
"12498",2018-10-05,"Personal consumption expenditures (PCE)",2.1
"12499",2018-10-05,"PCE excluding food and energy",2.07
"12500",2018-10-05,"Gross domestic product (GDP)",3.1
"12501",2018-10-06,"Unemployment rate",3.7
"12502",2018-10-06,"Federal funds rate",2.12
"12503",2018-10-06,"Personal consumption expenditures (PCE)",2.1
"12504",2018-10-06,"PCE excluding food and energy",2.07
"12505",2018-10-06,"Gross domestic product (GDP)",3.1
"12506",2018-10-07,"Unemployment rate",3.7
"12507",2018-10-07,"Federal funds rate",2.12
"12508",2018-10-07,"Personal consumption expenditures (PCE)",2.1
"12509",2018-10-07,"PCE excluding food and energy",2.07
"12510",2018-10-07,"Gross domestic product (GDP)",3.1
"12511",2018-10-08,"Unemployment rate",3.7
"12512",2018-10-08,"Federal funds rate",2.12
"12513",2018-10-08,"Personal consumption expenditures (PCE)",2.1
"12514",2018-10-08,"PCE excluding food and energy",2.07
"12515",2018-10-08,"Gross domestic product (GDP)",3.1
"12516",2018-10-09,"Unemployment rate",3.7
"12517",2018-10-09,"Federal funds rate",2.12
"12518",2018-10-09,"Personal consumption expenditures (PCE)",2.1
"12519",2018-10-09,"PCE excluding food and energy",2.07
"12520",2018-10-09,"Gross domestic product (GDP)",3.1
"12521",2018-10-10,"Unemployment rate",3.7
"12522",2018-10-10,"Federal funds rate",2.12
"12523",2018-10-10,"Personal consumption expenditures (PCE)",2.1
"12524",2018-10-10,"PCE excluding food and energy",2.07
"12525",2018-10-10,"Gross domestic product (GDP)",3.1
"12526",2018-10-11,"Unemployment rate",3.7
"12527",2018-10-11,"Federal funds rate",2.12
"12528",2018-10-11,"Personal consumption expenditures (PCE)",2.1
"12529",2018-10-11,"PCE excluding food and energy",2.07
"12530",2018-10-11,"Gross domestic product (GDP)",3.1
"12531",2018-10-12,"Unemployment rate",3.7
"12532",2018-10-12,"Federal funds rate",2.12
"12533",2018-10-12,"Personal consumption expenditures (PCE)",2.1
"12534",2018-10-12,"PCE excluding food and energy",2.07
"12535",2018-10-12,"Gross domestic product (GDP)",3.1
"12536",2018-10-13,"Unemployment rate",3.7
"12537",2018-10-13,"Federal funds rate",2.12
"12538",2018-10-13,"Personal consumption expenditures (PCE)",2.1
"12539",2018-10-13,"PCE excluding food and energy",2.07
"12540",2018-10-13,"Gross domestic product (GDP)",3.1
"12541",2018-10-14,"Unemployment rate",3.7
"12542",2018-10-14,"Federal funds rate",2.12
"12543",2018-10-14,"Personal consumption expenditures (PCE)",2.1
"12544",2018-10-14,"PCE excluding food and energy",2.07
"12545",2018-10-14,"Gross domestic product (GDP)",3.1
"12546",2018-10-15,"Unemployment rate",3.7
"12547",2018-10-15,"Federal funds rate",2.12
"12548",2018-10-15,"Personal consumption expenditures (PCE)",2.1
"12549",2018-10-15,"PCE excluding food and energy",2.07
"12550",2018-10-15,"Gross domestic product (GDP)",3.1
"12551",2018-10-16,"Unemployment rate",3.7
"12552",2018-10-16,"Federal funds rate",2.12
"12553",2018-10-16,"Personal consumption expenditures (PCE)",2.1
"12554",2018-10-16,"PCE excluding food and energy",2.07
"12555",2018-10-16,"Gross domestic product (GDP)",3.1
"12556",2018-10-17,"Unemployment rate",3.7
"12557",2018-10-17,"Federal funds rate",2.12
"12558",2018-10-17,"Personal consumption expenditures (PCE)",2.1
"12559",2018-10-17,"PCE excluding food and energy",2.07
"12560",2018-10-17,"Gross domestic product (GDP)",3.1
"12561",2018-10-18,"Unemployment rate",3.7
"12562",2018-10-18,"Federal funds rate",2.12
"12563",2018-10-18,"Personal consumption expenditures (PCE)",2.1
"12564",2018-10-18,"PCE excluding food and energy",2.07
"12565",2018-10-18,"Gross domestic product (GDP)",3.1
"12566",2018-10-19,"Unemployment rate",3.7
"12567",2018-10-19,"Federal funds rate",2.12
"12568",2018-10-19,"Personal consumption expenditures (PCE)",2.1
"12569",2018-10-19,"PCE excluding food and energy",2.07
"12570",2018-10-19,"Gross domestic product (GDP)",3.1
"12571",2018-10-20,"Unemployment rate",3.7
"12572",2018-10-20,"Federal funds rate",2.12
"12573",2018-10-20,"Personal consumption expenditures (PCE)",2.1
"12574",2018-10-20,"PCE excluding food and energy",2.07
"12575",2018-10-20,"Gross domestic product (GDP)",3.1
"12576",2018-10-21,"Unemployment rate",3.7
"12577",2018-10-21,"Federal funds rate",2.12
"12578",2018-10-21,"Personal consumption expenditures (PCE)",2.1
"12579",2018-10-21,"PCE excluding food and energy",2.07
"12580",2018-10-21,"Gross domestic product (GDP)",3.1
"12581",2018-10-22,"Unemployment rate",3.7
"12582",2018-10-22,"Federal funds rate",2.12
"12583",2018-10-22,"Personal consumption expenditures (PCE)",2.1
"12584",2018-10-22,"PCE excluding food and energy",2.07
"12585",2018-10-22,"Gross domestic product (GDP)",3.1
"12586",2018-10-23,"Unemployment rate",3.7
"12587",2018-10-23,"Federal funds rate",2.12
"12588",2018-10-23,"Personal consumption expenditures (PCE)",2.1
"12589",2018-10-23,"PCE excluding food and energy",2.07
"12590",2018-10-23,"Gross domestic product (GDP)",3.1
"12591",2018-10-24,"Unemployment rate",3.7
"12592",2018-10-24,"Federal funds rate",2.12
"12593",2018-10-24,"Personal consumption expenditures (PCE)",2.1
"12594",2018-10-24,"PCE excluding food and energy",2.07
"12595",2018-10-24,"Gross domestic product (GDP)",3.1
"12596",2018-10-25,"Unemployment rate",3.7
"12597",2018-10-25,"Federal funds rate",2.12
"12598",2018-10-25,"Personal consumption expenditures (PCE)",2.1
"12599",2018-10-25,"PCE excluding food and energy",2.07
"12600",2018-10-25,"Gross domestic product (GDP)",3.1
"12601",2018-10-26,"Unemployment rate",3.7
"12602",2018-10-26,"Federal funds rate",2.12
"12603",2018-10-26,"Personal consumption expenditures (PCE)",2.1
"12604",2018-10-26,"PCE excluding food and energy",2.07
"12605",2018-10-26,"Gross domestic product (GDP)",3.1
"12606",2018-10-27,"Unemployment rate",3.7
"12607",2018-10-27,"Federal funds rate",2.12
"12608",2018-10-27,"Personal consumption expenditures (PCE)",2.1
"12609",2018-10-27,"PCE excluding food and energy",2.07
"12610",2018-10-27,"Gross domestic product (GDP)",3.1
"12611",2018-10-28,"Unemployment rate",3.7
"12612",2018-10-28,"Federal funds rate",2.12
"12613",2018-10-28,"Personal consumption expenditures (PCE)",2.1
"12614",2018-10-28,"PCE excluding food and energy",2.07
"12615",2018-10-28,"Gross domestic product (GDP)",3.1
"12616",2018-10-29,"Unemployment rate",3.7
"12617",2018-10-29,"Federal funds rate",2.12
"12618",2018-10-29,"Personal consumption expenditures (PCE)",2.1
"12619",2018-10-29,"PCE excluding food and energy",2.07
"12620",2018-10-29,"Gross domestic product (GDP)",3.1
"12621",2018-10-30,"Unemployment rate",3.7
"12622",2018-10-30,"Federal funds rate",2.12
"12623",2018-10-30,"Personal consumption expenditures (PCE)",2.1
"12624",2018-10-30,"PCE excluding food and energy",2.07
"12625",2018-10-30,"Gross domestic product (GDP)",3.1
"12626",2018-10-31,"Unemployment rate",3.8
"12627",2018-10-31,"Federal funds rate",2.12
"12628",2018-10-31,"Personal consumption expenditures (PCE)",2.08
"12629",2018-10-31,"PCE excluding food and energy",1.91
"12630",2018-10-31,"Gross domestic product (GDP)",3.1
"12631",2018-11-01,"Unemployment rate",3.8
"12632",2018-11-01,"Federal funds rate",2.12
"12633",2018-11-01,"Personal consumption expenditures (PCE)",2.08
"12634",2018-11-01,"PCE excluding food and energy",1.91
"12635",2018-11-01,"Gross domestic product (GDP)",3.1
"12636",2018-11-02,"Unemployment rate",3.8
"12637",2018-11-02,"Federal funds rate",2.12
"12638",2018-11-02,"Personal consumption expenditures (PCE)",2.08
"12639",2018-11-02,"PCE excluding food and energy",1.91
"12640",2018-11-02,"Gross domestic product (GDP)",3.1
"12641",2018-11-03,"Unemployment rate",3.8
"12642",2018-11-03,"Federal funds rate",2.12
"12643",2018-11-03,"Personal consumption expenditures (PCE)",2.08
"12644",2018-11-03,"PCE excluding food and energy",1.91
"12645",2018-11-03,"Gross domestic product (GDP)",3.1
"12646",2018-11-04,"Unemployment rate",3.8
"12647",2018-11-04,"Federal funds rate",2.12
"12648",2018-11-04,"Personal consumption expenditures (PCE)",2.08
"12649",2018-11-04,"PCE excluding food and energy",1.91
"12650",2018-11-04,"Gross domestic product (GDP)",3.1
"12651",2018-11-05,"Unemployment rate",3.8
"12652",2018-11-05,"Federal funds rate",2.12
"12653",2018-11-05,"Personal consumption expenditures (PCE)",2.08
"12654",2018-11-05,"PCE excluding food and energy",1.91
"12655",2018-11-05,"Gross domestic product (GDP)",3.1
"12656",2018-11-06,"Unemployment rate",3.8
"12657",2018-11-06,"Federal funds rate",2.12
"12658",2018-11-06,"Personal consumption expenditures (PCE)",2.08
"12659",2018-11-06,"PCE excluding food and energy",1.91
"12660",2018-11-06,"Gross domestic product (GDP)",3.1
"12661",2018-11-07,"Unemployment rate",3.8
"12662",2018-11-07,"Federal funds rate",2.12
"12663",2018-11-07,"Personal consumption expenditures (PCE)",2.08
"12664",2018-11-07,"PCE excluding food and energy",1.91
"12665",2018-11-07,"Gross domestic product (GDP)",3.1
"12666",2018-11-08,"Unemployment rate",3.8
"12667",2018-11-08,"Federal funds rate",2.12
"12668",2018-11-08,"Personal consumption expenditures (PCE)",2.08
"12669",2018-11-08,"PCE excluding food and energy",1.91
"12670",2018-11-08,"Gross domestic product (GDP)",3.1
"12671",2018-11-09,"Unemployment rate",3.8
"12672",2018-11-09,"Federal funds rate",2.12
"12673",2018-11-09,"Personal consumption expenditures (PCE)",2.08
"12674",2018-11-09,"PCE excluding food and energy",1.91
"12675",2018-11-09,"Gross domestic product (GDP)",3.1
"12676",2018-11-10,"Unemployment rate",3.8
"12677",2018-11-10,"Federal funds rate",2.12
"12678",2018-11-10,"Personal consumption expenditures (PCE)",2.08
"12679",2018-11-10,"PCE excluding food and energy",1.91
"12680",2018-11-10,"Gross domestic product (GDP)",3.1
"12681",2018-11-11,"Unemployment rate",3.8
"12682",2018-11-11,"Federal funds rate",2.12
"12683",2018-11-11,"Personal consumption expenditures (PCE)",2.08
"12684",2018-11-11,"PCE excluding food and energy",1.91
"12685",2018-11-11,"Gross domestic product (GDP)",3.1
"12686",2018-11-12,"Unemployment rate",3.8
"12687",2018-11-12,"Federal funds rate",2.12
"12688",2018-11-12,"Personal consumption expenditures (PCE)",2.08
"12689",2018-11-12,"PCE excluding food and energy",1.91
"12690",2018-11-12,"Gross domestic product (GDP)",3.1
"12691",2018-11-13,"Unemployment rate",3.8
"12692",2018-11-13,"Federal funds rate",2.12
"12693",2018-11-13,"Personal consumption expenditures (PCE)",2.08
"12694",2018-11-13,"PCE excluding food and energy",1.91
"12695",2018-11-13,"Gross domestic product (GDP)",3.1
"12696",2018-11-14,"Unemployment rate",3.8
"12697",2018-11-14,"Federal funds rate",2.12
"12698",2018-11-14,"Personal consumption expenditures (PCE)",2.08
"12699",2018-11-14,"PCE excluding food and energy",1.91
"12700",2018-11-14,"Gross domestic product (GDP)",3.1
"12701",2018-11-15,"Unemployment rate",3.8
"12702",2018-11-15,"Federal funds rate",2.12
"12703",2018-11-15,"Personal consumption expenditures (PCE)",2.08
"12704",2018-11-15,"PCE excluding food and energy",1.91
"12705",2018-11-15,"Gross domestic product (GDP)",3.1
"12706",2018-11-16,"Unemployment rate",3.8
"12707",2018-11-16,"Federal funds rate",2.12
"12708",2018-11-16,"Personal consumption expenditures (PCE)",2.08
"12709",2018-11-16,"PCE excluding food and energy",1.91
"12710",2018-11-16,"Gross domestic product (GDP)",3.1
"12711",2018-11-17,"Unemployment rate",3.8
"12712",2018-11-17,"Federal funds rate",2.12
"12713",2018-11-17,"Personal consumption expenditures (PCE)",2.08
"12714",2018-11-17,"PCE excluding food and energy",1.91
"12715",2018-11-17,"Gross domestic product (GDP)",3.1
"12716",2018-11-18,"Unemployment rate",3.8
"12717",2018-11-18,"Federal funds rate",2.12
"12718",2018-11-18,"Personal consumption expenditures (PCE)",2.08
"12719",2018-11-18,"PCE excluding food and energy",1.91
"12720",2018-11-18,"Gross domestic product (GDP)",3.1
"12721",2018-11-19,"Unemployment rate",3.8
"12722",2018-11-19,"Federal funds rate",2.12
"12723",2018-11-19,"Personal consumption expenditures (PCE)",2.08
"12724",2018-11-19,"PCE excluding food and energy",1.91
"12725",2018-11-19,"Gross domestic product (GDP)",3.1
"12726",2018-11-20,"Unemployment rate",3.8
"12727",2018-11-20,"Federal funds rate",2.12
"12728",2018-11-20,"Personal consumption expenditures (PCE)",2.08
"12729",2018-11-20,"PCE excluding food and energy",1.91
"12730",2018-11-20,"Gross domestic product (GDP)",3.1
"12731",2018-11-21,"Unemployment rate",3.8
"12732",2018-11-21,"Federal funds rate",2.12
"12733",2018-11-21,"Personal consumption expenditures (PCE)",2.08
"12734",2018-11-21,"PCE excluding food and energy",1.91
"12735",2018-11-21,"Gross domestic product (GDP)",3.1
"12736",2018-11-22,"Unemployment rate",3.8
"12737",2018-11-22,"Federal funds rate",2.12
"12738",2018-11-22,"Personal consumption expenditures (PCE)",2.08
"12739",2018-11-22,"PCE excluding food and energy",1.91
"12740",2018-11-22,"Gross domestic product (GDP)",3.1
"12741",2018-11-23,"Unemployment rate",3.8
"12742",2018-11-23,"Federal funds rate",2.12
"12743",2018-11-23,"Personal consumption expenditures (PCE)",2.08
"12744",2018-11-23,"PCE excluding food and energy",1.91
"12745",2018-11-23,"Gross domestic product (GDP)",3.1
"12746",2018-11-24,"Unemployment rate",3.8
"12747",2018-11-24,"Federal funds rate",2.12
"12748",2018-11-24,"Personal consumption expenditures (PCE)",2.08
"12749",2018-11-24,"PCE excluding food and energy",1.91
"12750",2018-11-24,"Gross domestic product (GDP)",3.1
"12751",2018-11-25,"Unemployment rate",3.8
"12752",2018-11-25,"Federal funds rate",2.12
"12753",2018-11-25,"Personal consumption expenditures (PCE)",2.08
"12754",2018-11-25,"PCE excluding food and energy",1.91
"12755",2018-11-25,"Gross domestic product (GDP)",3.1
"12756",2018-11-26,"Unemployment rate",3.8
"12757",2018-11-26,"Federal funds rate",2.12
"12758",2018-11-26,"Personal consumption expenditures (PCE)",2.08
"12759",2018-11-26,"PCE excluding food and energy",1.91
"12760",2018-11-26,"Gross domestic product (GDP)",3.1
"12761",2018-11-27,"Unemployment rate",3.8
"12762",2018-11-27,"Federal funds rate",2.12
"12763",2018-11-27,"Personal consumption expenditures (PCE)",2.08
"12764",2018-11-27,"PCE excluding food and energy",1.91
"12765",2018-11-27,"Gross domestic product (GDP)",3.1
"12766",2018-11-28,"Unemployment rate",3.8
"12767",2018-11-28,"Federal funds rate",2.12
"12768",2018-11-28,"Personal consumption expenditures (PCE)",2.08
"12769",2018-11-28,"PCE excluding food and energy",1.91
"12770",2018-11-28,"Gross domestic product (GDP)",3.1
"12771",2018-11-29,"Unemployment rate",3.8
"12772",2018-11-29,"Federal funds rate",2.12
"12773",2018-11-29,"Personal consumption expenditures (PCE)",2.08
"12774",2018-11-29,"PCE excluding food and energy",1.91
"12775",2018-11-29,"Gross domestic product (GDP)",3.1
"12776",2018-11-30,"Unemployment rate",3.8
"12777",2018-11-30,"Federal funds rate",2.12
"12778",2018-11-30,"Personal consumption expenditures (PCE)",1.97
"12779",2018-11-30,"PCE excluding food and energy",2.04
"12780",2018-11-30,"Gross domestic product (GDP)",3.1
"12781",2018-12-01,"Unemployment rate",3.8
"12782",2018-12-01,"Federal funds rate",2.12
"12783",2018-12-01,"Personal consumption expenditures (PCE)",1.97
"12784",2018-12-01,"PCE excluding food and energy",2.04
